name,market,funding_total_usd,status,country_code,region,funding_rounds,founded_at,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,first_fund_year,years_between
360incentives.com, Software ,7650000.0,success,CAN,Toronto,0,2008-01-01,2008,2013-01-15,2013-01-15,0.0,7650000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,5
360pi, Artificial Intelligence ,4100000.0,success,CAN,Ottawa,0,2007-07-01,2007,2012-04-20,2013-08-18,0.0,4100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,5
360SHOP, Enterprise Software ,1623640.0,success,CHN,CHN - Other,1,2013-03-01,2013,2013-03-01,2013-03-01,0.0,1623640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623640.0,0.0,0.0,0.0,2013,0
365webcall, Enterprise Software ,0.0,success,CHN,Hangzhou,0,2004-03-01,2004,2004-03-01,2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,0
36Kr, Social Media ,1573976.0,success,CHN,Beijing,1,1999-01-01,1999,2011-04-01,2012-07-01,0.0,1573976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573976.0,0.0,0.0,0.0,2011,12
37mhealth, Mobile ,1629549.0,success,CHN,CHN - Other,0,2013-01-01,2013,2014-03-01,2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1629549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
3GV8 International Inc, Mobile ,746185.0,success,CHN,Beijing,1,2005-07-01,2005,2006-03-01,2007-02-01,0.0,746185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746185.0,0.0,0.0,0.0,2006,1
3i Systems, Semiconductors ,13708150.0,fail,CHN,Guangdong,1,2006-11-01,2006,2007-08-20,2010-03-01,0.0,13708150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,0.0,0.0,2007,1
3Nod, Enterprise Software ,5300000.0,success,CHN,Shenzhen,1,2007-01-01,2007,2007-01-01,2007-01-01,0.0,5300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5300000.0,0.0,0.0,0.0,2007,0
3POWER ENERGY GROUP, Clean Technology ,50000000.0,success,GBR,Plymouth,0,2011-03-11,2011,2011-03-11,2011-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,0
3rd Planet, Curated Web ,1500000.0,success,CHN,CHN - Other,1,2010-05-23,2010,2011-02-10,2012-05-01,0.0,1000000.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,2011,1
3sun, Clean Technology ,15152514.0,success,GBR,Norfolk,0,2007-01-01,2007,2014-03-03,2014-03-03,0.0,15152514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,7
40 Partners Ltd,,228187.0,success,GBR,London,0,2013-07-01,2013,2013-07-01,2013-07-01,228187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0
4th aspect, Advertising ,1121081.0,success,GBR,Sunderland Bridge,0,2010-03-10,2010,2011-03-10,2013-08-15,1121081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,1
5 Minutes, Games ,3500000.0,success,CHN,Shanghai,1,2009-12-21,2009,2009-12-21,2009-12-21,0.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0,0.0,0.0,0.0,2009,0
500px, Photography ,9325000.0,success,CAN,Toronto,1,2009-10-01,2009,2011-06-03,2013-08-07,525000.0,8800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8800000.0,0.0,0.0,0.0,2011,2
51 Give, Carbon ,0.0,success,CHN,Beijing,0,2007-09-01,2007,2008-06-10,2008-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,1
51.com, Software ,27000000.0,success,CHN,Shanghai,2,2005-01-01,2005,2006-05-01,2007-07-01,0.0,27000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,15000000.0,0.0,0.0,2006,1
5151tuan, Real Estate ,2928257.0,success,CHN,CHN - Other,0,2009-01-01,2009,2010-05-01,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2928257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,1
5173.com, E-Commerce ,9300000.0,success,CHN,CHN - Other,1,2002-11-01,2002,2004-03-01,2007-12-01,0.0,9300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300000.0,0.0,0.0,2004,2
51aiya.com, Health Care ,389673.0,success,CHN,Shenzhen,0,2012-01-01,2012,2013-08-01,2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,389673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1
51credit.com, Finance ,10000000.0,success,CHN,Beijing,1,2006-01-01,2006,2006-01-01,2007-07-01,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,2006,0
51edj, E-Commerce ,1158814.0,success,CHN,Beijing,0,2012-03-01,2012,2012-03-01,2012-12-01,0.0,1000000.0,0.0,158814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,0
51edu, Education ,0.0,success,CHN,Beijing,0,2001-01-01,2001,2006-01-01,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,5
51fanli, Online Shopping ,20000000.0,success,CHN,Shanghai,1,2006-01-01,2006,2011-06-22,2014-05-28,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,2011,5
51hejia.com, Curated Web ,10000000.0,success,CHN,Shanghai,1,2007-07-26,2007,2007-07-26,2007-07-26,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,2007,0
51intern.com è±è¾ç½, Career Management ,0.0,success,CHN,Shanghai,0,2010-05-18,2010,2010-11-01,2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,0
51Talk, Education ,65100000.0,success,CHN,Beijing,3,2011-01-01,2011,2011-12-01,2014-10-23,0.0,65100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,10000000.0,55000000.0,0.0,2011,0
51wan, Games ,1500000.0,success,CHN,Beijing,1,2007-08-01,2007,2008-04-01,2010-08-01,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,2008,1
5211game, Games ,1000000.0,success,CHN,Shanghai,0,2009-12-01,2009,2009-12-01,2009-12-01,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,0
55tuan.com, E-Commerce ,200000000.0,success,CHN,Beijing,1,2010-03-15,2010,2010-12-01,2011-07-01,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,2010,0
56.com, Photography ,30000000.0,success,CHN,Guangzhou,2,2005-04-01,2005,2007-06-01,2007-12-01,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,20000000.0,0.0,0.0,2007,2
58.com, Software ,876780000.0,success,CHN,CHN - Other,3,2005-01-01,2005,2006-02-01,2014-06-27,0.0,140780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5780000.0,60000000.0,55000000.0,2006,1
591wed, Curated Web ,10000000.0,success,CHN,Beijing,0,2013-12-03,2013,2013-12-03,2013-12-03,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0
5app, Web Design ,5100000.0,success,GBR,London,0,2011-01-01,2011,2014-06-12,2014-06-12,5100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
5minutes, Social Media ,15873.0,success,GBR,London,0,2011-03-19,2011,2012-03-19,2012-03-19,15873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1
60mo, Finance ,1300000.0,success,GBR,Edinburgh,1,2009-06-01,2009,2009-06-29,2011-01-19,300000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,2009,0
6APT, Education ,0.0,success,CHN,Beijing,0,2011-05-01,2011,2011-05-01,2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,0
6Rooms, Photography ,30500000.0,success,CHN,CHN - Other,3,2006-11-01,2006,2006-11-01,2012-01-01,0.0,30500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,15000000.0,11500000.0,0.0,2006,0
7billionideas, Social Media ,47566.0,success,GBR,Surbiton,0,2011-01-01,2011,2012-04-07,2012-04-07,0.0,47566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1
7digital, Music ,20100000.0,success,GBR,London,1,2004-01-01,2004,2005-09-01,2013-11-25,0.0,18500000.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,8500000.0,0.0,0.0,0.0,2005,1
7fgame, Games ,0.0,success,CHN,Shanghai,0,2006-01-01,2006,2009-12-01,2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,3
7k7k.com, Games ,1136548.0,success,CHN,Beijing,0,2003-01-01,2003,2010-05-01,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1136548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,7
7Road, Games ,3989751.0,success,CHN,Shenzhen,1,2008-01-01,2008,2009-05-01,2011-01-01,0.0,3989751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3989751.0,0.0,0.0,2009,1
80/20 Solutions, Social Media ,2100000.0,fail,CAN,Toronto,0,2009-08-07,2009,2009-08-07,2009-08-07,0.0,2100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,0
800APP, Web Hosting ,34000000.0,success,CHN,Beijing,1,2004-06-23,2004,2008-01-01,2011-09-21,0.0,34000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000000.0,0.0,0.0,0.0,2008,4
8868, E-Commerce ,0.0,success,CHN,CHN - Other,0,2012-01-01,2012,2013-12-01,2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1
8bit, Advertising ,140000.0,success,GBR,London,0,2013-02-01,2013,2014-02-01,2014-07-01,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
8Trip, Travel ,24600000.0,success,CHN,Shanghai,0,2011-01-01,2011,2013-11-13,2013-11-13,0.0,24600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,2
90min, News ,23800000.0,success,GBR,London,0,2011-01-01,2011,2013-05-07,2014-03-26,0.0,23800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,2
91 Boyuan Wireles, Mobile ,20000000.0,success,CHN,Fuzhou Shi,0,2011-12-01,2011,2011-12-01,2011-12-01,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,0
91 Wireless, Mobile ,30000000.0,success,CHN,Fuzhou Shi,0,2010-09-01,2010,2011-12-01,2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,1
91JinRong, Finance ,19790000.0,success,CHN,Beijing,2,2011-10-01,2011,2011-10-01,2014-06-16,0.0,19790000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9790000.0,10000000.0,0.0,0.0,2011,0
99Bill, Payments ,81574271.0,success,CHN,Shanghai,1,2005-01-01,2005,2006-04-26,2012-12-14,0.0,81574271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15050000.0,0.0,0.0,2006,1
